Admission grade,Age at enrollment,eval_ratio_1st,approval_rate_1st,approval_rate_2nd,eval_miss_rate_1st,total_approved,total_enrolled,overall_approval_rate,Marital status,application_group,Daytime/evening attendance	,Gender,International,Scholarship holder,Tuition fees up to date,Debtor,Mother_edu_group,Father_edu_group,Target
127.3,18,1.1428571428571428,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
136.3,20,1.6,0.8,0.8,0.2,8,10,0.8,1,general_admission,1,0,0,0,1,0,high,medium,Graduate
124.6,18,1.0,0.8571428571428571,0.8571428571428571,0.0,12,14,0.8571428571428571,1,general_admission,1,0,0,0,1,0,medium,medium,Enrolled
120.3,21,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,0,0,1,1,0,medium,medium,Graduate
121.8,20,2.0,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,0,1,0,medium,low,Enrolled
125.5,18,1.5,0.875,0.875,0.0,14,16,0.875,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
114.9,19,1.3333333333333333,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,1,1,0,medium,low,Graduate
123.9,19,1.1428571428571428,0.8571428571428571,0.875,0.0,13,15,0.8666666666666667,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
157.0,18,1.3333333333333333,0.8333333333333334,0.6666666666666666,0.0,9,12,0.75,1,general_admission,1,0,0,1,1,1,medium,low,Enrolled
116.4,21,1.5,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,medium,low,Graduate
131.0,18,1.8,1.0,0.8,0.4,9,10,0.9,1,general_admission,1,0,0,0,1,0,medium,medium,Enrolled
122.1,20,1.2,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
118.8,19,1.2857142857142858,0.8571428571428571,0.8571428571428571,0.0,12,14,0.8571428571428571,1,general_admission,1,1,0,0,1,0,high,high,Enrolled
150.0,21,2.5,0.8333333333333334,0.8333333333333334,0.0,10,12,0.8333333333333334,1,prior_higher_ed,1,1,0,0,1,0,high,high,Enrolled
130.0,20,1.1666666666666667,1.0,0.6666666666666666,0.0,10,12,0.8333333333333334,1,transfer_or_change,1,1,0,0,1,0,high,high,Graduate
138.8,18,1.8,0.6,0.4,0.0,5,10,0.5,1,general_admission,1,1,0,0,0,0,medium,medium,Enrolled
134.5,19,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,0,0,0,0,1,0,medium,medium,Graduate
131.4,34,1.2,1.0,1.0,0.0,10,10,1.0,1,general_admission,0,1,0,0,1,0,high,low,Graduate
102.5,37,1.0,0.0,0.14285714285714285,0.0,1,14,0.07142857142857142,1,mature_student,1,1,0,0,0,1,low,low,Dropout
128.8,43,0.0,0.0,0.0,0.0,0,10,0.0,1,mature_student,1,1,0,0,1,0,very_low,low,Dropout
122.9,55,2.0,0.2,0.4,0.0,3,10,0.3,1,transfer_or_change,1,0,0,0,1,0,low,low,Dropout
113.9,39,1.6,1.0,1.0,0.0,10,10,1.0,4,mature_student,0,0,0,0,1,0,medium,medium,Graduate
120.0,20,2.1666666666666665,0.5,0.5,0.0,6,12,0.5,1,prior_higher_ed,1,0,1,0,0,1,high,high,Dropout
121.1,18,1.0,0.6666666666666666,0.0,0.0,4,11,0.36363636363636365,1,general_admission,1,0,0,0,1,1,high,high,Dropout
120.4,22,1.0,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,high,medium,Graduate
100.6,22,1.2857142857142858,0.7142857142857143,0.875,0.0,12,15,0.8,1,general_admission,1,0,0,0,1,0,medium,high,Graduate
121.4,20,1.1666666666666667,0.6666666666666666,0.8333333333333334,0.0,9,12,0.75,1,general_admission,1,0,0,0,0,0,medium,low,Dropout
109.7,29,0.0,0.0,0.0,0.0,0,10,0.0,1,mature_student,0,0,0,0,1,0,low,low,Dropout
134.1,24,1.8,0.4,0.6,0.0,5,10,0.5,1,general_admission,0,0,0,0,1,0,low,low,Enrolled
127.6,18,1.0,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
132.4,22,1.1428571428571428,0.8571428571428571,0.875,0.0,13,15,0.8666666666666667,1,general_admission,1,0,0,1,1,0,low,medium,Graduate
133.4,21,1.0,1.0,1.0,0.0,12,12,1.0,1,prior_higher_ed,0,0,0,1,1,0,medium,medium,Graduate
126.1,19,1.1666666666666667,0.8333333333333334,1.0,0.0,11,12,0.9166666666666666,1,general_admission,1,0,0,1,1,0,low,low,Graduate
113.5,24,1.0,1.0,1.0,0.0,12,12,1.0,1,mature_student,1,0,0,1,1,0,medium,low,Graduate
121.3,19,1.25,0.75,0.75,0.0,12,16,0.75,1,general_admission,1,0,0,1,1,0,low,low,Enrolled
121.8,20,1.8333333333333333,0.6666666666666666,0.5,0.0,7,12,0.5833333333333334,1,general_admission,1,0,0,1,1,0,medium,medium,Enrolled
159.3,19,1.4,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,low,low,Graduate
120.0,27,2.4,1.0,1.0,0.0,10,10,1.0,1,mature_student,0,0,0,0,1,0,low,low,Dropout
129.1,18,1.2857142857142858,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
130.0,39,1.6666666666666667,0.0,0.0,0.0,0,12,0.0,2,prior_higher_ed,1,0,0,0,1,0,medium,high,Dropout
155.3,27,1.5,0.8333333333333334,0.9090909090909091,0.0,15,17,0.8823529411764706,1,mature_student,1,0,0,0,1,0,high,high,Dropout
139.8,18,1.0,1.0,1.0,0.0,16,16,1.0,1,general_admission,1,0,0,0,1,0,low,low,Graduate
115.2,18,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,0,0,0,1,0,low,low,Enrolled
114.9,18,1.1428571428571428,0.8571428571428571,0.875,0.0,13,15,0.8666666666666667,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
131.9,21,1.1666666666666667,1.0,1.0,0.0,12,12,1.0,1,prior_higher_ed,1,0,0,1,1,0,medium,medium,Graduate
126.0,19,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,1,0,1,1,0,medium,low,Enrolled
130.2,19,1.0,0.8333333333333334,0.16666666666666666,0.0,6,12,0.5,1,general_admission,1,1,0,0,1,0,medium,medium,Enrolled
120.9,24,1.0,0.0,0.0,0.0,0,12,0.0,1,transfer_or_change,1,1,0,0,1,0,medium,medium,Enrolled
126.0,29,1.4285714285714286,0.7142857142857143,0.625,0.0,10,15,0.6666666666666666,4,transfer_or_change,1,1,0,0,1,0,medium,medium,Dropout
128.2,19,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,1,0,1,1,0,medium,medium,Graduate
130.0,23,1.3333333333333333,1.0,1.0,0.0,12,12,1.0,1,prior_higher_ed,1,1,0,0,1,0,medium,low,Graduate
120.1,19,1.6,1.0,0.8,0.0,9,10,0.9,1,general_admission,1,1,0,0,1,1,medium,low,Dropout
100.0,26,1.1666666666666667,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,1,mature_student,1,1,0,0,1,0,medium,low,Enrolled
134.0,18,1.8,0.0,0.0,0.0,0,10,0.0,1,general_admission,1,1,0,0,1,0,low,low,Enrolled
130.8,24,1.1428571428571428,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,1,0,0,1,0,low,medium,Graduate
135.8,19,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,1,0,0,1,0,medium,medium,Dropout
111.7,18,2.0,0.5,0.16666666666666666,0.0,4,12,0.3333333333333333,1,general_admission,1,1,0,0,1,0,low,low,Dropout
132.9,18,1.3333333333333333,1.0,0.5,0.0,9,12,0.75,1,general_admission,1,1,0,0,1,0,low,low,Graduate
115.5,18,1.6,0.6,0.6,0.0,6,10,0.6,1,general_admission,1,1,0,0,1,1,medium,medium,Dropout
106.0,21,1.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,5,12,0.4166666666666667,1,general_admission,1,1,0,1,1,0,medium,low,Dropout
120.3,19,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,1,0,1,1,1,medium,medium,Graduate
130.8,22,1.0,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,1,0,1,1,0,low,low,Graduate
117.0,33,1.3333333333333333,1.0,1.0,0.0,12,12,1.0,2,mature_student,0,1,0,0,1,0,low,low,Graduate
110.2,20,1.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,10,12,0.8333333333333334,1,general_admission,1,1,0,0,1,0,medium,medium,Dropout
155.7,35,1.0,0.0,0.0,1.0,0,6,0.0,1,mature_student,0,1,0,0,1,0,high,high,Dropout
180.4,24,1.4166666666666667,0.5,0.8333333333333334,0.0,16,24,0.6666666666666666,1,mature_student,1,1,0,0,1,1,high,high,Dropout
125.5,18,1.2,1.0,0.6,0.0,8,10,0.8,1,general_admission,1,1,0,0,1,0,medium,medium,Enrolled
110.0,33,1.1666666666666667,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,2,mature_student,0,0,0,0,1,0,low,low,Graduate
161.0,22,1.0,0.875,0.875,0.0,14,16,0.875,1,transfer_or_change,1,0,0,1,1,0,low,low,Graduate
100.0,25,1.4,0.8,1.0,0.0,9,10,0.9,1,mature_student,1,0,0,1,1,0,medium,medium,Graduate
117.6,20,1.5,1.0,0.8333333333333334,0.16666666666666666,11,12,0.9166666666666666,1,general_admission,1,1,0,0,1,0,medium,low,Graduate
128.7,23,1.2,0.8,1.0,0.0,9,10,0.9,1,general_admission,1,1,0,0,1,0,low,low,Enrolled
112.2,18,1.8,0.4,0.0,0.0,2,10,0.2,1,transfer_or_change,1,1,0,0,1,1,low,medium,Enrolled
100.8,24,2.5714285714285716,0.0,0.0,0.0,0,14,0.0,1,mature_student,1,1,0,0,1,0,medium,medium,Dropout
105.0,21,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,1,0,0,0,medium,medium,Graduate
100.0,26,1.1666666666666667,0.3333333333333333,0.0,0.16666666666666666,2,12,0.16666666666666666,1,international,1,0,1,0,1,0,medium,medium,Dropout
115.5,39,2.0,0.5,0.0,0.0,3,12,0.25,2,mature_student,1,0,0,0,1,0,low,very_low,Dropout
114.0,44,1.375,1.0,1.0,0.0,14,14,1.0,2,mature_student,0,0,0,0,1,0,low,medium,Graduate
137.0,19,1.8,1.0,0.6,0.0,8,10,0.8,1,international,1,1,1,0,1,0,low,high,Enrolled
124.9,18,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,low,medium,Graduate
120.3,18,1.0,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,1,1,0,low,low,Graduate
134.3,19,1.4,1.0,1.0,0.4,10,10,1.0,1,general_admission,1,0,0,0,1,0,medium,high,Enrolled
111.5,19,1.4285714285714286,0.5714285714285714,0.0,0.0,4,14,0.2857142857142857,1,general_admission,1,0,0,0,0,1,high,high,Dropout
128.8,21,1.2,0.8,0.5555555555555556,0.0,13,19,0.6842105263157895,1,prior_higher_ed,1,0,0,0,1,0,low,low,Dropout
110.0,20,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
113.5,36,0.0,0.0,0.0,0.0,0,12,0.0,2,mature_student,0,0,0,0,1,0,low,low,Dropout
160.0,43,1.0555555555555556,1.0,1.0,0.0,31,31,1.0,4,mature_student,1,0,0,0,1,0,low,low,Graduate
117.4,19,0.0,0.0,0.0,0.0,0,12,0.0,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
122.2,20,1.2,1.0,1.0,0.0,21,21,1.0,1,transfer_or_change,1,0,0,0,1,1,high,medium,Graduate
118.2,19,0.0,0.0,0.0,0.0,0,12,0.0,1,general_admission,1,0,0,0,1,0,low,low,Dropout
106.7,20,2.5,0.6666666666666666,0.6666666666666666,0.0,8,12,0.6666666666666666,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
108.2,20,1.2857142857142858,0.8571428571428571,0.7142857142857143,0.0,11,14,0.7857142857142857,1,general_admission,1,0,0,0,1,0,high,high,Dropout
107.0,20,1.7142857142857142,0.8571428571428571,0.42857142857142855,0.0,9,14,0.6428571428571429,1,general_admission,1,0,0,0,1,0,medium,medium,Enrolled
136.1,18,1.3333333333333333,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,low,low,Graduate
115.3,18,1.8,0.6,0.6,0.0,6,10,0.6,1,general_admission,1,0,0,1,1,0,medium,low,Enrolled
139.8,19,1.2,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
157.0,18,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,medium,low,Graduate
131.0,18,1.0,0.8571428571428571,0.8571428571428571,0.14285714285714285,12,14,0.8571428571428571,1,general_admission,1,0,0,0,1,0,low,low,Dropout
100.0,20,1.5714285714285714,0.8571428571428571,1.0,0.0,13,14,0.9285714285714286,1,transfer_or_change,1,0,0,0,1,0,low,low,Enrolled
140.4,20,2.1666666666666665,0.3333333333333333,0.6666666666666666,0.0,6,12,0.5,1,general_admission,1,0,0,1,1,0,medium,low,Enrolled
113.4,20,2.2,0.6,0.6,0.0,6,10,0.6,1,general_admission,1,0,0,0,1,0,medium,medium,Enrolled
137.0,18,2.4,1.0,1.0,0.4,10,10,1.0,1,general_admission,1,0,0,0,1,0,low,low,Graduate
121.8,18,1.0,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,high,medium,Graduate
131.0,21,2.0,0.5,0.3333333333333333,0.0,5,12,0.4166666666666667,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
118.6,19,1.6,1.0,0.8,0.0,9,10,0.9,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
122.3,19,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,0,0,0,1,0,high,medium,Dropout
127.9,19,1.0,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,1,1,0,low,low,Graduate
121.3,19,2.5,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,medium,low,Graduate
117.1,19,1.7142857142857142,0.7142857142857143,0.0,0.0,5,14,0.35714285714285715,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
160.0,20,1.1666666666666667,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,1,prior_higher_ed,1,0,0,0,1,0,low,low,Graduate
145.3,18,1.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,10,12,0.8333333333333334,1,general_admission,1,0,0,1,1,0,medium,low,Enrolled
122.6,18,1.1666666666666667,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
128.0,19,1.0,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,0,1,0,medium,low,Graduate
124.9,18,1.2857142857142858,1.0,0.875,0.0,14,15,0.9333333333333333,1,general_admission,1,0,0,1,1,0,medium,medium,Dropout
123.7,18,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,low,low,Graduate
120.1,19,1.4,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
131.7,19,1.1428571428571428,0.7142857142857143,0.0,0.0,5,14,0.35714285714285715,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
133.2,20,1.6666666666666667,1.0,1.0,0.0,16,16,1.0,1,transfer_or_change,1,0,0,0,1,0,low,low,Graduate
109.3,19,1.1666666666666667,0.8333333333333334,0.6666666666666666,0.0,9,12,0.75,1,general_admission,1,0,0,1,0,1,medium,low,Dropout
113.0,20,1.4,0.8,0.8,0.0,8,10,0.8,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
157.9,18,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,1,1,1,medium,medium,Graduate
112.1,20,1.2857142857142858,0.7142857142857143,0.875,0.0,12,15,0.8,1,general_admission,1,0,0,1,1,0,medium,medium,Enrolled
174.7,18,1.1428571428571428,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
128.8,19,1.0,0.8571428571428571,0.8571428571428571,0.0,12,14,0.8571428571428571,1,general_admission,1,0,0,0,1,0,low,low,Graduate
110.1,19,1.3333333333333333,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,1,general_admission,1,0,0,1,1,0,medium,medium,Graduate
99.7,22,1.6,0.0,0.0,0.0,0,10,0.0,1,transfer_or_change,1,0,0,0,0,1,high,medium,Enrolled
121.0,19,1.1666666666666667,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,1,1,0,medium,medium,Graduate
131.7,19,1.4285714285714286,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,1,1,0,medium,medium,Graduate
119.1,19,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.0,10,12,0.8333333333333334,1,general_admission,1,0,0,1,1,0,low,low,Graduate
124.7,19,2.0,0.0,0.0,0.0,0,10,0.0,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
117.2,20,1.3333333333333333,0.8333333333333334,0.5,0.0,8,12,0.6666666666666666,1,general_admission,1,0,0,0,1,0,medium,low,Dropout
128.8,18,2.0,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,high,medium,Graduate
131.5,20,1.1428571428571428,0.8571428571428571,0.875,0.0,13,15,0.8666666666666667,1,general_admission,1,0,0,1,1,0,medium,medium,Graduate
121.7,18,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,0,0,0,1,0,high,low,Enrolled
123.4,19,1.2,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,medium,low,Graduate
124.7,18,1.8333333333333333,0.5,0.8333333333333334,0.0,8,12,0.6666666666666666,1,general_admission,1,0,0,0,1,0,low,low,Enrolled
132.8,18,1.1666666666666667,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,1,general_admission,1,0,0,0,1,0,low,low,Graduate
108.7,21,1.6666666666666667,0.5,0.5,0.0,6,12,0.5,1,transfer_or_change,1,0,0,0,1,0,high,low,Dropout
138.1,19,1.3333333333333333,1.0,0.6666666666666666,0.0,10,12,0.8333333333333334,1,general_admission,1,0,0,0,1,0,low,low,Dropout
126.5,18,1.0,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,1,1,0,low,low,Graduate
127.4,18,1.3333333333333333,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,1,1,0,medium,low,Graduate
123.6,20,1.6666666666666667,0.6666666666666666,1.0,0.0,10,12,0.8333333333333334,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
122.0,24,1.8333333333333333,0.8333333333333334,0.8333333333333334,0.0,10,12,0.8333333333333334,1,mature_student,0,0,0,1,1,0,medium,medium,Graduate
118.2,19,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
123.9,18,1.2857142857142858,1.0,0.875,0.0,14,15,0.9333333333333333,1,general_admission,1,0,0,1,1,0,medium,low,Graduate
125.8,18,1.1428571428571428,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
123.3,21,2.1666666666666665,0.6666666666666666,0.5,0.0,7,12,0.5833333333333334,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
124.4,19,1.0,1.0,1.0,0.0,10,10,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
126.0,19,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,1,1,0,medium,low,Graduate
170.0,47,1.0,0.0,0.0,0.0,0,7,0.0,3,mature_student,1,0,0,0,1,1,medium,low,Enrolled
121.5,19,1.6666666666666667,0.8333333333333334,0.6666666666666666,0.0,9,12,0.75,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
130.0,29,1.0,0.875,0.875,0.0,14,16,0.875,1,mature_student,1,0,0,0,1,0,high,high,Graduate
117.0,21,2.1666666666666665,0.5,0.3333333333333333,0.0,5,12,0.4166666666666667,1,transfer_or_change,1,0,0,0,1,0,medium,medium,Dropout
130.0,28,2.6,0.8,0.8,0.2,8,10,0.8,1,mature_student,1,0,0,0,1,0,low,medium,Enrolled
108.0,20,1.1428571428571428,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,0,1,0,low,low,Graduate
132.3,19,1.0,0.8571428571428571,0.8571428571428571,0.0,12,14,0.8571428571428571,1,general_admission,1,0,0,0,1,0,high,low,Graduate
148.0,26,1.6666666666666667,0.5,0.8333333333333334,0.0,8,12,0.6666666666666666,1,transfer_or_change,0,0,0,0,1,0,medium,high,Graduate
122.6,20,1.3333333333333333,0.6666666666666666,1.0,0.0,10,12,0.8333333333333334,1,general_admission,1,0,0,0,0,1,low,low,Dropout
123.0,18,1.2,0.6,0.8,0.0,7,10,0.7,1,general_admission,1,0,0,1,1,0,low,low,Enrolled
102.5,27,1.5,0.8333333333333334,0.8333333333333334,0.0,10,12,0.8333333333333334,1,mature_student,1,0,0,0,1,0,low,medium,Graduate
113.3,20,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.0,8,14,0.5714285714285714,1,general_admission,1,0,0,0,1,0,very_low,very_low,Dropout
133.0,18,1.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,10,12,0.8333333333333334,1,general_admission,1,0,0,0,1,0,low,medium,Dropout
140.0,33,1.1428571428571428,0.8571428571428571,0.75,0.0,12,15,0.8,1,prior_higher_ed,1,0,0,0,1,0,medium,medium,Dropout
128.3,35,1.0,1.0,1.0,0.0,40,40,1.0,1,transfer_or_change,1,0,0,0,1,0,high,medium,Graduate
140.0,26,1.1666666666666667,1.0,1.0,0.0,12,12,1.0,1,prior_higher_ed,0,0,0,1,1,0,low,medium,Enrolled
104.0,27,1.0,0.8333333333333334,0.0,0.0,5,12,0.4166666666666667,1,mature_student,1,0,0,0,0,1,medium,medium,Dropout
122.3,19,1.0,1.0,0.0,0.0,6,12,0.5,1,general_admission,1,0,0,0,0,0,medium,low,Dropout
135.0,20,0.0,0.0,0.0,0.0,0,12,0.0,1,general_admission,1,0,0,0,1,0,medium,medium,Dropout
119.1,20,1.8,0.6,0.6,0.0,6,10,0.6,1,general_admission,1,0,0,0,0,1,high,high,Dropout
126.6,21,1.8,0.8,0.6666666666666666,0.0,12,16,0.75,1,transfer_or_change,1,0,0,0,0,1,medium,low,Enrolled
129.0,18,1.0,0.8571428571428571,0.8571428571428571,0.0,12,14,0.8571428571428571,1,general_admission,1,0,0,1,1,0,low,medium,Graduate
162.3,24,1.6666666666666667,0.3333333333333333,0.0,0.0,2,12,0.16666666666666666,1,mature_student,1,0,0,0,1,0,medium,medium,Dropout
163.4,20,1.1666666666666667,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,medium,high,Graduate
121.5,21,1.1666666666666667,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,1,1,0,medium,low,Graduate
122.8,23,2.1666666666666665,0.3333333333333333,0.2,0.0,3,11,0.2727272727272727,1,general_admission,0,0,0,0,1,0,medium,low,Enrolled
118.0,24,1.0,0.0,0.0,0.0,0,10,0.0,1,mature_student,1,0,0,0,1,0,medium,high,Dropout
134.0,21,0.0,0.0,0.0,0.0,0,12,0.0,1,transfer_or_change,1,0,0,0,1,0,medium,medium,Dropout
129.8,18,1.0,0.875,0.875,0.0,14,16,0.875,1,general_admission,1,0,0,0,1,0,low,low,Graduate
152.0,27,0.0,0.0,0.0,0.0,0,10,0.0,1,mature_student,0,0,0,0,1,0,medium,medium,Dropout
122.8,18,1.0,1.0,1.0,0.0,16,16,1.0,1,general_admission,1,0,0,0,1,0,low,low,Graduate
150.0,35,0.0,0.0,0.0,0.0,0,10,0.0,1,prior_higher_ed,1,0,0,0,1,0,high,high,Dropout
131.8,18,1.2857142857142858,1.0,1.0,0.0,14,14,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
105.9,35,1.3333333333333333,1.0,1.0,0.0,6,6,1.0,1,mature_student,1,0,0,0,1,0,medium,high,Enrolled
132.1,19,1.8,0.8,0.8,0.0,8,10,0.8,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
127.4,20,1.3333333333333333,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
129.5,18,1.0,0.875,0.875,0.0,14,16,0.875,1,general_admission,1,0,0,0,1,0,medium,medium,Graduate
126.7,21,1.0,1.0,1.0,0.0,12,12,1.0,1,prior_higher_ed,1,0,0,0,1,1,low,low,Graduate
116.5,18,1.8333333333333333,0.8333333333333334,0.6666666666666666,0.0,9,12,0.75,1,general_admission,1,0,0,1,1,0,medium,low,Graduate
119.1,18,1.5,0.6666666666666666,0.6666666666666666,0.0,8,12,0.6666666666666666,1,general_admission,1,0,0,0,1,0,very_low,very_low,Graduate
126.5,18,1.0,0.875,0.875,0.0,14,16,0.875,1,general_admission,1,0,0,0,1,0,medium,low,Graduate
149.8,18,1.0,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,0,1,1,0,high,medium,Graduate
